model,accuracy,macro_f1,f1_negative,f1_neutral,f1_positive,ece
finbert_finetune_cal,0.9800884955752213,0.9682613583929603,0.943089430894309,0.9928057553956835,0.9688888888888889,0.009946405619469493
finbert_finetune_uncal,0.9800884955752213,0.9682613583929603,0.943089430894309,0.9928057553956835,0.9688888888888889,0.015877279845133083
finbert_zero,0.9734513274336283,0.9650252105277052,0.96,0.9872495446265938,0.9478260869565217,0.058799126194690396
tfidf_logreg,0.8628318584070797,0.8027107500546259,0.6990291262135923,0.9230769230769231,0.7860262008733624,0.07186214354835883
